Date,Close
2022-11-01,47.470001220703125
2022-12-01,47.20000076293945
2023-01-01,52.93000030517578
2023-02-01,43.61000061035156
2023-03-01,49.02000045776367
2023-04-01,47.400001525878906
2023-05-01,40.54999923706055
2023-06-01,42.65999984741211
2023-07-01,42.91999816894531
2023-08-01,39.41999816894531
2023-09-01,36.95000076293945
2023-10-01,37.470001220703125
2023-11-01,40.18999862670898
2023-12-01,41.38999938964844
2024-01-01,34.5099983215332
2024-02-01,31.25
2024-03-01,35.84000015258789
2024-04-01,40.63999938964844
2024-05-01,41.93999862670898
2024-06-01,41.869998931884766
2024-07-01,49.06999969482422
2024-08-01,53.38999938964844
2024-09-01,53.45000076293945
2024-10-01,45.43999862670898
2024-11-01,41.93999862670898
2024-12-01,37.220001220703125
2025-01-01,42.720001220703125
2025-02-01,42.84000015258789
2025-03-01,48.27999877929688
2025-04-01,52.68000030517578
2025-05-01,52.720001220703125
2025-06-01,58.2599983215332
2025-07-01,62.09999847412109
2025-08-01,74.4000015258789
2025-09-01,84.30999755859375
2025-10-01,80.97000122070312
2025-11-01,90.7300033569336
2025-12-01,99.8499984741211
2026-01-01,112.3499984741211
2026-02-01,130.0
