Date,Close
2022-11-01,34.5
2022-12-01,34.72999954223633
2023-01-01,38.5
2023-02-01,29.309999465942383
2023-03-01,34.650001525878906
2023-04-01,35.79999923706055
2023-05-01,33.869998931884766
2023-06-01,37.435001373291016
2023-07-01,40.790000915527344
2023-08-01,34.119998931884766
2023-09-01,29.32999992370605
2023-10-01,27.07999992370605
2023-11-01,28.65999984741211
2023-12-01,30.25
2024-01-01,26.96999931335449
2024-02-01,25.690000534057617
2024-03-01,30.690000534057617
2024-04-01,40.06999969482422
2024-05-01,37.93999862670898
2024-06-01,32.369998931884766
2024-07-01,38.43999862670898
2024-08-01,38.970001220703125
2024-09-01,44.15999984741211
2024-10-01,38.84999847412109
2024-11-01,30.299999237060547
2024-12-01,27.399999618530277
2025-01-01,28.170000076293945
2025-02-01,27.18000030517578
2025-03-01,25.3700008392334
2025-04-01,24.36000061035156
2025-05-01,19.729999542236328
2025-06-01,22.18000030517578
2025-07-01,21.280000686645508
2025-08-01,23.40999984741211
2025-09-01,25.8700008392334
2025-10-01,26.57999992370605
2025-11-01,28.709999084472656
2025-12-01,34.04999923706055
2026-01-01,51.84999847412109
2026-02-01,57.470001220703125
