Date,Close
2022-11-01,50.369998931884766
2022-12-01,51.9900016784668
2023-01-01,56.47999954223633
2023-02-01,46.02999877929688
2023-03-01,50.970001220703125
2023-04-01,56.72999954223633
2023-05-01,50.77999877929688
2023-06-01,49.97999954223633
2023-07-01,52.40999984741211
2023-08-01,48.5099983215332
2023-09-01,45.45000076293945
2023-10-01,46.90999984741211
2023-11-01,53.70000076293945
2023-12-01,54.84999847412109
2024-01-01,49.15999984741211
2024-02-01,48.060001373291016
2024-03-01,59.650001525878906
2024-04-01,63.34999847412109
2024-05-01,68.20999908447266
2024-06-01,65.4000015258789
2024-07-01,77.16999816894531
2024-08-01,81.47000122070312
2024-09-01,80.55999755859375
2024-10-01,86.29000091552734
2024-11-01,84.41999816894531
2024-12-01,78.20999908447266
2025-01-01,92.94000244140624
2025-02-01,96.27999877929688
2025-03-01,108.41000366210938
2025-04-01,117.58000183105467
2025-05-01,117.98999786376952
2025-06-01,118.93000030517578
2025-07-01,124.36000061035156
2025-08-01,144.1699981689453
2025-09-01,168.55999755859375
2025-10-01,160.80999755859375
2025-11-01,174.42999267578125
2025-12-01,169.52999877929688
2026-01-01,190.5
2026-02-01,251.6000061035156
